desa_id,kabkota_id_full,nama_desa,nama_kabkota,vintage_year,sektor,count_total,potensi_weighted
5,3174,Cengkareng Timur,Jakarta Barat,2024,7,80,18704860888.71607
1,3175,Sunter Agung,Jakarta Utara,2021,7,232,17624588043.18308
3,3175,Pegangsaan Dua,Jakarta Utara,2024,7,118,15658974624.917164
5,3174,Cengkareng Timur,Jakarta Barat,2025,7,80,14488616737.321106
3,3175,Pejagalan,Jakarta Utara,2024,9,937,13830064134.8201
5,3171,Melawai,Jakarta Selatan,2025,9,209,13799777769.074339
1,3172,Pekayon,Jakarta Timur,2021,7,208,13124732981.378126
1,3171,Bangka,Jakarta Selatan,2024,7,202,12737958759.7716
4,3174,Tangki,Jakarta Barat,2018,7,108,11884092894.209862
5,3173,Senen,Jakarta Pusat,2024,9,290,11580081813.65789
3,3172,Ciracas,Jakarta Timur,2021,7,388,11556410458.0337
3,3174,Pegadungan,Jakarta Barat,2024,7,151,11323195757.65165
4,3173,Gondangdia,Jakarta Pusat,2024,9,79,11222671881.137585
3,3175,Pegangsaan Dua,Jakarta Utara,2025,7,118,11163528865.464651
2,3175,Kelapa Gading Timur,Jakarta Utara,2024,7,505,11023027386.253906
1,3174,Tanjung Duren Utara,Jakarta Barat,2018,7,557,10963907777.19526
1,3175,Sunter Agung,Jakarta Utara,2024,7,165,10891439364.195778
2,3173,Cempaka Putih Timur,Jakarta Pusat,2024,9,182,10781866297.695875
1,3175,Kelapa Gading Barat,Jakarta Utara,2024,9,335,10767933146.331951
1,3173,Pasar Baru,Jakarta Pusat,2024,9,54,10710384311.191814
2,3175,Pademangan Timur,Jakarta Utara,2024,7,258,10608019008.993656
2,3174,Kalideres,Jakarta Barat,2021,7,141,10513604422.060453
5,3174,Cengkareng Timur,Jakarta Barat,2021,7,103,9950725228.141947
4,3175,Penjaringan,Jakarta Utara,2018,7,1858,9873705665.245079
5,3173,Kebon Sirih,Jakarta Pusat,2024,9,164,9816859479.89105
4,3173,Kebon Kelapa,Jakarta Pusat,2024,9,47,9495190540.622776
2,3175,Pademangan Timur,Jakarta Utara,2021,7,262,9339485235.326742
7,3172,Klender,Jakarta Timur,2024,7,360,9306862532.936298
7,3175,Kali Baru,Jakarta Utara,2024,7,822,9089695677.553726
1,3175,Suka Pura,Jakarta Utara,2024,9,798,9085443592.217585
5,3174,Kembangan Selatan,Jakarta Barat,2024,7,198,8927636507.570366
1,3175,Kelapa Gading Barat,Jakarta Utara,2024,7,93,8917619033.323866
3,3175,Pejagalan,Jakarta Utara,2024,7,641,8846763944.523336
3,3174,Pegadungan,Jakarta Barat,2025,7,151,8770845426.241295
2,3172,Duren Sawit,Jakarta Timur,2024,7,296,8593269401.361269
8,3173,Gunung Sahari Selatan,Jakarta Pusat,2024,9,161,8530183722.817952
2,3175,Sunter Jaya,Jakarta Utara,2024,7,687,8451999878.348953
3,3174,Tomang,Jakarta Barat,2024,7,424,8426240385.460329
6,3175,Semper Barat,Jakarta Utara,2024,7,310,8421633411.720156
5,3171,Menteng Atas,Jakarta Selatan,2020,7,107,8372427642.120831
5,3171,Menteng Atas,Jakarta Selatan,2018,7,96,8354107231.52538
1,3175,Sunter Agung,Jakarta Utara,2024,9,203,8300281800.297546
3,3172,Pondok Kelapa,Jakarta Timur,2021,7,224,8270243136.873457
3,3171,Tegal Parang,Jakarta Selatan,2024,7,67,8266122173.894337
5,3173,Senen,Jakarta Pusat,2025,9,290,8238332527.067703
1,3173,Johar Baru,Jakarta Pusat,2024,9,150,8160860125.880304
