rank_magnitude,rank_eczi,desa_pcode,nama_desa,nama_kecamatan,nama_kabkota,n_pixels,lum_2021,lum_2024,lum_2025,ntl_cagr_2021_2025,ntl_change_2024_2025,ntl_level_2025,ntl_recovery_2021_2025,quality_flag,nama_kabkota_podes,podes_count_2025,podes_cagr_2021_2025,podes_change_2024_2025,podes_level_2025,podes_diversity_shannon,podes_winsorize_flag,magnitude_2025,magnitude_cagr_2021_2025,magnitude_change_2024_2025,magnitude_perdagangan_2025,magnitude_akomamin_2025,centroid_lat,centroid_lon,count_hiburan_nightlife,count_gaya_hidup_wellness,count_retail_khusus,count_wisata_budaya,count_layanan_penunjang,transport_access_score_raw,catchment_density_1km,pulse_badge,pulse_yoy_2026,ntl_cagr_2021_2025_w,ntl_change_2024_2025_w,podes_cagr_2021_2025_w,podes_change_2024_2025_w,magnitude_cagr_2021_2025_w,magnitude_change_2024_2025_w,low_reliability_flag,n_ntl_cagr,n_ntl_change,n_podes_cagr,n_podes_change,n_mag_cagr,n_ntl_level,n_podes_level,n_podes_div,n_mag_level,n_osm_ent,n_osm_well,n_osm_spec,n_osm_tour,n_tra_access,n_tra_auto,n_tra_catch,g1,g2,g3,g4,g5,eczi_score,n_osm_lifestyle_density,magnitude_score,tipe_kawasan
11,1,ID3173080001,Cideng,Gambir,Kota Jakarta Pusat,5,46.704,54.8,60.078,0.0602,0.0963,60.078,1.286,medium,Jakarta Pusat,295.0,0.3814,0.0034,295.0,1.2296,False,7349876280.707611,0.6455,-0.1337,2561133608.080808,4788742672.626802,-6.173,106.8083,0.0,6.0,14.0,0.0,76.0,240.8,176,Stabil,-4.06,0.0602,0.0954299999999999,0.3197049999999998,0.0034,0.590689999999999,-0.1337,0,56.46926956846629,100.0,100.0,43.21595265453887,100.0,83.4513865814402,77.26028904873827,64.32981061002407,96.61891810008954,0.0,52.06212286759118,93.6921070344715,0.0,95.67258482658858,91.21475782547536,98.55065246477254,73.66,77.43,98.46,36.44,94.99,77.43,74.06022510826102,86.3,Kawasan Komersial Sedang Naik Daun
69,2,ID3171100001,Karet Semanggi,Setia Budi,Kota Jakarta Selatan,4,70.931,78.17,92.013,0.06045,0.1252,92.013,1.297,low,Jakarta Selatan,132.0,0.4618619999999988,0.1282,132.0,1.5586,True,4372066714.887243,0.5385,0.084,761659740.4201193,3610406974.467124,-6.2225,106.8179,4.0,7.0,2.0,0.0,22.0,160.68,113,Mulai Melambat,-9.71,0.06045,0.0954299999999999,0.3197049999999998,0.1282,0.5385,0.084,0,56.842891836353445,100.0,100.0,68.59702463875709,92.65911808144044,91.98672647572243,66.39822848248154,81.54232499738411,94.40971913964404,58.04820237218406,55.63470702461066,38.00937667159343,0.0,88.65606538335135,65.84165674877455,90.17425526827404,75.29,81.94,93.45,42.76,83.18,77.16,64.19699112188565,79.96,Kawasan Komersial Sedang Naik Daun
59,3,ID3171100002,Kuningan Timur,Setia Budi,Kota Jakarta Selatan,8,56.084,67.423,69.816,0.0554999999999999,0.02675,69.816,1.245,medium,Jakarta Selatan,115.0,0.3561,2.1081,115.0,1.4466,False,5258890849.045641,0.6822,0.5058,380829870.2100597,4878060978.835581,-6.2316,106.8295,4.0,11.0,0.0,1.0,38.0,186.87,82,Stabil,0.53,0.0554999999999999,0.02675,0.3197049999999998,0.2826099999999992,0.590689999999999,0.2527349999999995,0,49.4451709321874,63.50981590202694,100.0,100.0,100.0,86.45352117927085,64.54139762735794,75.68274563147432,95.19517727779588,58.04820237218406,66.48277947394573,0.0,17.376534287144,91.27325669294191,76.93044597467508,84.13196053732501,59.72,87.38,97.82,38.87,86.62,75.92,68.9199775441412,80.74,Kawasan Komersial Mapan
108,4,ID3171070005,Kuningan Barat,Mampang Prapatan,Kota Jakarta Selatan,3,57.707,77.477,87.025,0.1082,0.1232,87.025,1.508,low,Jakarta Selatan,249.0,0.4214,-0.0778,249.0,1.2739,False,6505565524.065054,0.6149,-0.0044,1170186328.4636378,5335379195.601416,-6.236,106.8221,1.0,0.0,0.0,1.0,14.0,138.22,72,Stabil,0.43,0.0893275,0.0954299999999999,0.3197049999999998,-0.0778,0.590689999999999,-0.0044,0,100.0,100.0,100.0,26.701985946858425,100.0,90.86816191971934,74.96708598279967,66.64748351993303,96.0999467178842,25.0,0.0,0.0,17.376534287144,86.0487671970651,56.86583980719758,81.68766344565678,98.48,73.58,98.23,11.23,78.1,75.69,26.72454385532548,75.89,Awal Pertumbuhan
118,5,ID3171060004,Petogogan,Kebayoran Baru,Kota Jakarta Selatan,3,42.085,57.28,59.848,0.092,0.0448,59.848,1.422,low,Jakarta Selatan,177.0,0.3518,0.0,177.0,1.1202,False,3294654273.314093,0.6488,0.094,422374946.96024793,2872279326.353845,-6.2432,106.8111,3.0,0.0,0.0,1.0,21.0,145.33,70,Stabil,-1.17,0.0893275,0.0448,0.3197049999999998,0.0,0.590689999999999,0.094,0,100.0,73.09991233429855,100.0,42.52448114214831,100.0,83.37482225853871,70.35515033753163,58.60625719368004,93.20640480085154,50.0,0.0,0.0,17.376534287144,86.91707125894706,64.90822249837855,81.15875792526374,89.38,74.71,96.91,19.56,80.55,75.22,39.15074910131681,75.54,Kawasan Komersial Sedang Naik Daun
3,6,ID3171100003,Karet Kuningan,Setia Budi,Kota Jakarta Selatan,8,49.561,68.381,64.787,0.0616499999999999,-0.06005,64.787,1.307,medium,Jakarta Selatan,209.0,0.2713,0.0347,209.0,1.5083,False,9678228539.520512,0.4746,0.1877,1855680094.841745,7822548444.678767,-6.2204,106.828,15.0,22.0,9.0,3.0,35.0,158.65,130,Stabil,-2.9,0.0616499999999999,-0.06005,0.2713,0.0347,0.4746,0.1877,0,58.636278722211685,17.392343862072636,91.6836327088112,49.58155804801668,83.67114424361782,84.95862119229709,72.59982022471195,78.91074605001569,97.78931784096264,100.0,83.8890147109689,79.66397701969122,34.753068574288,88.4358005508399,75.24964412305317,92.82070688034008,50.99,76.0,90.09,80.01,85.8,73.99,95.16280807158373,89.71,Kawasan Komersial Sedang Naik Daun
148,7,ID3171060003,Pulo,Kebayoran Baru,Kota Jakarta Selatan,5,36.092,51.194,53.627,0.0889,0.0398,53.627,1.486,medium,Jakarta Selatan,144.0,0.1811,0.6,144.0,1.5241,False,4084010731.567671,0.3321,0.0715,1211731405.2138262,2872279326.3538446,-6.2533,106.8019,0.0,2.0,0.0,1.0,31.0,163.0,90,Trend Lanjut Tumbuh,5.71,0.0889,0.0398,0.1811,0.2826099999999992,0.3321,0.0715,0,99.36110592191297,70.44337592646708,76.18654914997984,100.0,63.627540614670586,81.1861167342454,67.57110698267769,79.73736528199225,94.11985194938543,0.0,29.392974790871936,0.0,17.376534287144,88.90443522667319,72.77634018100836,85.883942797595,87.9,79.32,77.49,10.24,84.42,73.91,33.722619737900224,74.08,Awal Pertumbuhan
57,8,ID3171060005,Melawai,Kebayoran Baru,Kota Jakarta Selatan,7,55.244,67.51,70.513,0.0975,0.0852,70.513,1.276,medium,Jakarta Selatan,238.0,0.013,0.161,238.0,1.3783,False,14395257202.493708,0.3558,1.2875,595479433.419366,13799777769.07434,-6.2456,106.8022,1.0,1.0,2.0,1.0,41.0,215.04,98,Trend Lanjut Tumbuh,6.83,0.0893275,0.0852,0.013,0.161,0.3558,0.2527349999999995,0,100.0,94.56472650957684,47.30562069943048,75.26769099358368,66.96110837611656,86.65228497102791,74.35613872610244,72.10944857172753,99.4778344200349,25.0,18.54490234153689,38.00937667159343,17.376534287144,93.70883728914612,78.48662542482508,87.48820702283122,96.19,63.62,81.74,25.37,88.97,73.91,43.58585372427559,80.76,Kawasan Komersial Sedang Naik Daun
8,9,ID3174040001,Tanjung Duren Utara,Grogol Petamburan,Kota Jakarta Barat,5,44.652,58.858,60.997,0.1067,0.0739,60.997,1.366,medium,Jakarta Barat,173.0,0.0181,0.0298,173.0,1.1559,False,3751551536.463336,0.0835,-0.3015,1898731605.188768,1852819931.274568,-6.1729,106.7831,5.0,29.0,17.0,0.0,44.0,123.2,183,Trend Lanjut Tumbuh,20.09,0.0893275,0.0739,0.0181,0.0298,0.0835,-0.3015,0,100.0,88.5609542278777,48.1818416101848,48.58502557427734,28.660243336380937,83.75446021787104,70.04655977099196,60.47399811656378,93.75873153443874,64.62406251802891,90.99780689616576,100.0,0.0,84.05861114691785,79.9353938325225,99.28911411507512,93.96,55.72,58.25,69.29,85.31,72.72,96.11688047684758,87.12,Kawasan Komersial Sedang Naik Daun
163,10,ID3174060005,Mangga Besar,Taman Sari,Kota Jakarta Barat,2,42.056,54.329,59.196,0.0892,0.09125,59.196,1.408,low,Jakarta Barat,101.0,0.1695,0.0,101.0,1.6988,False,4990820316.832788,0.3229,-0.1986,1337742721.8375406,3653077594.995247,-6.1448,106.8182,0.0,1.0,2.0,0.0,39.0,145.77,141,Trend Lanjut Tumbuh,25.21,0.0892,0.09125,0.1695,0.0,0.3229,-0.1986,0,99.80945264337754,97.7791355630529,74.19357609806806,42.52448114214831,62.33349743301224,83.1561956839452,62.79510798309396,88.87726273935336,94.97266215028677,0.0,18.54490234153689,38.00937667159343,0.0,86.96941102846436,77.4620898904777,94.35584657755298,96.44,66.15,77.17,14.14,85.7,72.3,33.722619737900224,73.07,Kawasan Komersial Sedang Naik Daun
